grna_energy,grna_scaffold_energy
-4.1,-25.0
0.0,-25.1
-0.4,-23.7
0.0,-22.6
0.0,-25.0
-5.5,-27.0
0.0,-19.2
0.0,-21.9
-1.8,-28.2
-7.2,-25.4
-2.3,-23.3
-1.8,-28.0
-5.2,-24.3
-2.5,-30.4
0.0,-27.1
-2.3,-28.5
-1.1,-29.4
-2.6,-29.0
-3.3,-24.7
0.0,-22.2
-5.2,-32.3
-6.3,-26.4
-4.5,-24.9
-2.2,-27.6
-1.4,-26.6
-3.4,-26.1
-0.2,-23.0
-3.8,-24.3
-2.3,-25.9
-2.7,-22.8
-3.0,-24.8
-8.0,-26.5
-1.6,-25.6
-1.8,-21.2
0.0,-21.1
-2.9,-26.0
-3.8,-23.9
-2.0,-33.0
-3.1,-25.5
-6.1,-30.4
-1.6,-25.9
0.0,-26.3
-2.9,-26.4
0.0,-23.5
0.0,-22.3
0.0,-19.6
-6.0,-30.3
-1.3,-26.9
-6.2,-27.3
-1.0,-22.2
0.0,-27.3
-5.7,-24.7
0.0,-23.8
0.0,-23.2
-2.7,-24.1
0.0,-30.9
-0.4,-20.7
-11.0,-30.0
0.0,-22.1
-3.5,-23.4
-1.8,-20.9
-0.4,-24.1
-4.9,-24.9
-0.3,-26.3
-0.1,-19.8
-5.1,-23.6
-2.4,-23.7
0.0,-20.4
-1.8,-25.1
0.0,-23.2
0.0,-25.0
0.0,-26.6
0.0,-18.7
-3.5,-22.6
-3.3,-22.4
-2.7,-22.7
0.0,-25.3
0.0,-21.0
-1.3,-28.9
-2.6,-23.0
-5.9,-25.9
-4.5,-24.5
-1.7,-24.8
-1.6,-26.1
-1.7,-25.8
-0.3,-26.5
-1.3,-24.4
-0.2,-22.3
0.0,-20.3
-4.6,-22.4
-3.7,-25.6
-1.2,-25.4
0.0,-20.3
-7.8,-27.4
0.0,-21.8
-1.2,-30.4
-0.2,-24.7
0.0,-25.9
0.0,-21.9
-0.6,-22.9
-5.1,-25.3
-0.6,-20.7
0.0,-28.4
0.0,-29.3
-6.2,-33.8
0.0,-19.3
-1.2,-25.9
-2.1,-25.5
-5.9,-28.3
-2.9,-26.8
-5.1,-24.7
-3.4,-22.2
-3.6,-22.5
-2.9,-26.7
0.0,-26.3
-0.4,-25.3
-2.9,-23.5
-5.6,-28.6
-6.1,-25.7
0.0,-22.8
-2.1,-25.8
0.0,-26.2
0.0,-22.5
0.0,-19.8
