original_name,new_name
X1mono,mono -4
X2mono,mono -3
X3mono,mono -2
X4mono,mono -1
X5mono,mono 1
X6mono,mono 2
X7mono,mono 3
X8mono,mono 4
X9mono,mono 5
X10mono,mono 6
X11mono,mono 7
X12mono,mono 8
X13mono,mono 9
X14mono,mono 10
X15mono,mono 11
X16mono,mono 12
X17mono,mono 13
X18mono,mono 14
X19mono,mono 15
X20mono,mono 16
X21mono,mono 17
X22mono,mono 18
X23mono,mono 19
X24mono,mono 20
X25mono,mono 21
X26mono,mono 22
X27mono,mono 23
X28mono,mono +1
X29mono,mono +2
X30mono,mono +3
X1di,di -4
X2di,di -3
X3di,di -2
X4di,di -1
X5di,di 1
X6di,di 2
X7di,di 3
X8di,di 4
X9di,di 5
X10di,di 6
X11di,di 7
X12di,di 8
X13di,di 9
X14di,di 10
X15di,di 11
X16di,di 12
X17di,di 13
X18di,di 14
X19di,di 15
X20di,di 16
X21di,di 17
X22di,di 18
X23di,di 19
X24di,di 20
X25di,di 21
X26di,di 22
X27di,di 23
X28di,di +1
X29di,di +2
